,Ditrict,City,Village Visited,Retailer's Name,Retailer's Number,Lat,Long,websites,,
,,Muzaffarpur,Gaushala,Jai Mata di,9080765432,26.11325,85.40319,https://www.amazon.in/,,
,,Muzaffarpur,Gaushala,sri om,8090765432,26.11292,85.40386,https://www.amazon.in/,,
,,Muzaffarpur,Gaushala,gopal kirana,9987653421,26.1128,85.40313,https://www.amazon.in/,,
,,Muzaffarpur,Gaushala,sweet corner,9080764321,26.11193,85.40457,https://www.amazon.in/,,
,,Muzaffarpur,Gaushala,online mobile store,9867432189,26.11352,85.40509,https://www.amazon.in/,,
,,Muzaffarpur,Gaushala,looping store,9087543210,26.11138,85.40526,https://www.amazon.in/,,
,,Muzaffarpur,Gaushala,General store ,8907654321,26.11373,85.40317,https://www.amazon.in/,,
,,Muzaffarpur,Gaushala,Food corner,8754321098,26.11351,85.40214,https://www.amazon.in/,,
,,Muzaffarpur,Gaushala,Food corner centre,90807654321,26.11292,85.40383,https://www.amazon.in/,,
,,Muzaffarpur,Gaushala,Gift,8060754321,26.113,85.40373,https://www.amazon.in/,,
,,Muzaffarpur,Gaushala,Gift corner,9843217680,29.3661833,78.203954,https://www.amazon.in/,,
,,Muzaffarpur,Gaushala,flower cart,8543210976,29.3661833,78.203954,https://www.amazon.in/,,
,,Muzaffarpur,Gaushala,Decoration centre,9934521678,29.3661833,78.203954,https://www.amazon.in/,,
,,Muzaffarpur,Gaushala,Decoration care,8764321480,29.3661833,78.203954,https://www.amazon.in/,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
