State,City,Area,Retailer Name,Latitude,Longitude,Websites
Bihar,Muzaffarpur,Gaushala Road,Jai Mata di,26.11325,85.40319,https://www.amazon.in/
Bihar,Muzaffarpur,Gaushala Road,sri om,26.11292,85.40386,https://www.amazon.in/
Bihar,Muzaffarpur,Gaushala Road,gopal kirana,26.1128,85.40313,https://www.amazon.in/
Bihar,Muzaffarpur,Gaushala Road,sweet corner,26.11193,85.40457,https://www.amazon.in/
Bihar,Muzaffarpur,Gaushala Road,online mobile store,26.11352,85.40509,https://www.amazon.in/
Bihar,Muzaffarpur,Gaushala Road,looping store,26.11138,85.40526,https://www.amazon.in/
Bihar,Muzaffarpur,Gaushala Road,General store ,26.11373,85.40317,https://www.amazon.in/
Bihar,Muzaffarpur,Gaushala Road,Food corner,26.11351,85.40214,https://www.amazon.in/
Bihar,Muzaffarpur,Gaushala Road,Food corner centre,26.11292,85.40383,https://www.amazon.in/
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
