State,City,Area,Retailer Name,Latitude,Longitude,Websites
Bihar,Muzaffarpur,Gaushala Road,Jai Mata di,26.11325,85.40319,https://www.amazon.in/
Bihar,Muzaffarpur,Gaushala Road,sri om,26.11292,85.40386,https://www.amazon.in/
Bihar,Muzaffarpur,Gaushala Road,gopal kirana,26.11128,85.40313,https://www.amazon.in/
Bihar,Muzaffarpur,Gaushala Road,sweet corner,26.11193,85.40457,https://www.amazon.in/
Bihar,Muzaffarpur,Gaushala Road,online mobile store,26.11352,85.40509,https://www.amazon.in/
Bihar,Muzaffarpur,Gaushala Road,looping store,26.11138,85.40526,https://www.amazon.in/
Bihar,Muzaffarpur,Gaushala Road,General store ,26.11373,85.40317,https://www.amazon.in/
Bihar,Muzaffarpur,Gaushala Road,Food corner,26.11351,85.40214,https://www.amazon.in/
Bihar,Muzaffarpur,Gaushala Road,Food corner centre,26.11292,85.40383,https://www.amazon.in/
Bihar,Muzaffarpur,Gaushala Road,Gift,26.1113,85.40373,https://www.firstcry.com/
Bihar,Muzaffarpur,Gaushala Road,Car Rental,26.113594,85.403152,https://www.myntra.com/
Andhra Pradesh,Kurnool,Adoni (Kurnool),CHINNA URKUNDAYYASETTY KIRANA STORE,15.6363967,77.2670917,https://www.amazon.in/
Andhra Pradesh,Kurnool,Adoni (Kurnool),KONDAMADEV MEDICAL STORE,15.6363967,77.2670917,https://www.amazon.in/
Andhra Pradesh,Kurnool,Adoni (Kurnool),Kumar kirana store,15.6363967,77.2670917,https://www.amazon.in/
Andhra Pradesh,Kurnool,Adoni (Kurnool),NEW SRIRAMA MEDICAL STORE,15.6363967,77.2670917,https://www.amazon.in/
Andhra Pradesh,AMALAPURAM,AMALAPURAM,Aachutharamayya kirana,16.4445879,81.9990354,https://www.amazon.in/
Andhra Pradesh,AMALAPURAM,AMALAPURAM,Amdika fancy,16.4445879,81.9990354,https://www.amazon.in/
Andhra Pradesh,AMALAPURAM,AMALAPURAM,Ganesh medical,16.4445879,81.9990354,https://www.amazon.in/
Andhra Pradesh,AMALAPURAM,AMALAPURAM,gupta medical,16.4445879,81.9990354,https://www.amazon.in/
Andhra Pradesh,AMALAPURAM,AMALAPURAM,Ksk swamy kirana,16.4445879,81.9990354,https://www.amazon.in/
Andhra Pradesh,AMALAPURAM,AMALAPURAM,padham vathi kirana,16.4445879,81.9990354,https://www.amazon.in/
Andhra Pradesh,AMALAPURAM,AMALAPURAM,Palla madika kirana,16.4445879,81.9990354,https://www.amazon.in/
